role_k1000_v3,role_k17000_v3,position_cc_indicator_emb,position_ser_indicator_emb
.NET Developer,Azure .NET Expert,3.125,7.5
.NET Developer,.NET DevOps Engineer,1.5,8
.NET Developer,.NET Programmer Analyst,2,7.25
.NET Developer,Middleware Developer,.75,8
.NET Developer,.NET Developer Intern,.875,6.75
.NET Developer,SharePoint Developer,1.875,8.25
.NET Developer,.NET Developer,1,10
.NET Developer,Power Platform Developer,1.75,6.75
.NET Developer,WPF Developer,.75,8.75
.NET Developer,Software Test Automation Engineer,1,8
.NET Developer,Lead .NET Developer,1.75,9.5
.NET Developer,Microsoft Cloud Developer,3,7.75
.NET Developer,Blazor Developer,2.125,7.75
3D Designer,3D Graphics Developer,1.25,7.25
3D Designer,3D Environment Artist,1.25,1.25
3D Designer,3D Creator,1.5,1.75
3D Designer,3D Visualizer,2.5,3.75
3D Designer,3D CAD Designer,.75,4.5
3D Designer,3D Prototyper,3.375,5.75
3D Designer,3D Interaction Designer,5.5,4
AI Engineer,Conversational AI Engineer,4.25,8
AI Engineer,AI Consulting,5,6.5
AI Engineer,AI Innovator,2.5,6.25
AI Engineer,Data Engineer for AI,1.75,8.75
AI Engineer,Deep Learning Engineer,1,9.5
AI Engineer,Generative AI Engineer,1.375,9
AI Engineer,Machine Learning Engineering,1.75,8.75
AI Engineer,Edge AI Engineer,1.625,9.5
AI Engineer,AI Product Lead,4.25,4.25
AI Engineer,NLP Engineer,1.5,9.25
AI Engineer,AI Training,2.25,4.75
AI Engineer,AI Solutions Architect,4.5,8
AI Engineer,Machine Learning Engineer Intern,1.25,8
AI Engineer,AI Leadership Roles,3.25,6.5
AI Engineer,Reinforcement Learning Engineer,2,7.25
AI Engineer,ML Operation,2.25,8.25
AI Project Manager,AI Portfolio Manager,2.5,3.25
AI Project Manager,AI Management Specialist,2.5,6.5
AI Project Manager,AI Governance,1.25,1.25
AI Researcher,AI Research,1.25,9.75
AI Researcher,Reinforcement Learning Researcher,1.5,8.75
AI Researcher,Applied Researcher,2.5,9.25
AI Researcher,Explainable AI Researcher,.75,9.5
AI Researcher,Autonomous Systems Researcher,1,9.75
AI Researcher,Blockchain Researcher,.75,8.5
AI Researcher,Audio Researcher,2,8.5
AI Researcher,Researcher,2,9
AI Researcher,AI Research Intern,.5,8.5
AI Researcher,Quantum Computing Specialist,0,8.75
AI Researcher,Machine Learning Researcher,.75,9.5
AI Researcher,Algorithm Developer,1,8.25
AI Researcher,Data Labeler,1,2.75
AI Researcher,Network Researcher,1.25,8.75
Academic Researcher,Research Recruiter,1.5,3.25
Academic Researcher,Social Research Analyst,4.5,6.25
Academic Researcher,Research Portfolio Manager,2.25,6.5
Academic Researcher,Research Archivist,.25,1.25
Academic Researcher,Research Support Specialist,2,5.5
Academic Researcher,Psychometrician,1.75,6.75
Academic Researcher,Research Support,1.375,7.5
Academic Researcher,Biostatistician,.875,8
Academic Researcher,Field Research Analyst,5,7
Academic Researcher,Cultural Studies Researcher,3.25,7.25
Academic Researcher,Research Quality Analyst,3.25,6.5
Academic Researcher,Graduate Researcher,0,8
Academic Researcher,Behavioral Researcher,4.75,7.75
Academic Researcher,Research Librarian,1.5,4.75
Academic Researcher,Visiting Scholar,0,8
Academic Researcher,Research Project Manager,3.75,5.75
Academic Researcher,Research Specialist,2.75,8.5
Academic Researcher,Research Communicator,4.75,4.25
Academic Researcher,Research Instrument Engineer,1,9.25
Academic Researcher,Research Methodologist,1.75,7.75
Academic Researcher,Research Outreach Coordinator,3.75,3.5
Academic Researcher,Research Program Director,3.25,6.75
Academic Researcher,Research Operation,2.75,5.75
Academic Researcher,Project Research Fellow,2.25,7.75
Academic Researcher,Research Data/Policy Analyst,2,5.5
Academic Researcher,Research Trainer,2.5,7
Academic Researcher,Research Trainee,1.625,7.875
Academic Researcher,Editorial Researcher,3.125,5.25
Academic Researcher,Research Software Engineer,1.5,9.5
