position_k1000_classification,coef,max_coef_pctile
1,.008349386,19
2,.00059545028,7
3,.0062662424,18
4,.0046772948,18
5,.014914918,20
10,.00032473548,5
11,.0024757229,16
12,.0017668352,14
13,-.00066208182,1
14,-.0014181329,1
15,.00059372734,7
16,-.001424928,1
17,.0013743436,12
19,.001317102,12
20,.0034259919,17
21,.00087754213,9
22,.00016770378,4
24,-.00023850812,2
25,.0019349228,14
26,.0013831746,12
27,-.00046509624,2
28,.0015087037,12
29,-.00014607394,3
30,.00077799102,9
31,.00084641768,9
32,.0017718257,14
33,.0015811676,13
34,.0023183876,15
35,.0046308301,18
36,.00039222275,5
37,.00052102195,6
38,.013161442,20
39,.0013263789,12
40,.0047464748,18
42,.0085302806,19
44,.0022601557,15
45,.0041886815,17
46,-.0034839266,1
47,-.00089864351,1
48,.00025207648,4
49,-.0003404922,2
50,.0016722424,13
51,.01172391,19
52,.0036644286,17
100,.0090650339,19
101,.090285994,20
102,.0059662354,18
103,.015939957,20
104,.0049767862,18
105,-.00041361377,2
106,.011501062,19
107,.00077350793,8
108,.0019700031,14
109,.011205658,19
110,.0063143508,19
111,.029901635,20
112,.00081945705,9
114,.00064477324,7
115,-.00030221383,2
116,.0013967454,12
117,.00043637317,5
118,.0083570238,19
119,.0014303373,12
120,.006274085,18
121,.00045994238,6
122,.0011412445,11
125,.00099974021,10
126,.0013181355,12
127,.00018153287,4
128,.00080286613,9
129,.00049433438,6
130,-.000023872033,3
131,.000051764535,3
132,.0013302591,12
133,.00064930861,7
134,.00088399963,9
135,.0011847424,11
136,.00067001756,7
137,.00001087732,3
138,-.000026666443,3
139,.00076377974,8
140,.0015729953,13
141,-.00060514384,1
142,.048378423,20
143,.0024292048,15
144,.00079303759,9
145,.00096384349,10
146,.0012740176,11
147,.0069680098,19
148,.0065545868,19
149,.0023347661,15
150,.00053149485,6
151,.0024253458,15
152,.0035276839,17
153,-.00094389461,1
154,.00048716864,6
155,.00071785128,8
156,.00050826767,6
157,.0046547237,18
158,.00035214456,5
159,.010953431,19
160,.015909478,20
161,.0023604396,15
162,.00010076876,4
163,.0017453742,13
164,.00086134457,9
165,.00091754791,10
166,-.00070736965,1
167,-.00013958466,3
168,.0045547346,18
169,.0067095403,19
170,.00062443927,7
171,.000081746242,4
172,.0022762073,15
173,.0024024779,15
174,.012214008,20
175,.0027565549,16
176,.00012774434,4
177,.0010878318,11
178,.0030358448,16
179,.0007428684,8
180,.00092551723,10
181,.0028697471,16
182,.018045157,20
183,.0025946514,16
184,.0036310109,17
185,.0031652865,16
186,.0020158617,14
187,-.00060441002,2
188,.00060313341,7
189,.0021991972,15
190,-.00068791042,1
191,-.000018294759,3
192,.0015694554,13
193,.00096277572,10
194,-.00045048041,2
195,.0010201553,10
196,.00083102053,9
197,.00091124809,10
198,-.001493883,1
199,.00029336661,5
200,.00027307446,5
201,.001887906,14
202,.0012261356,11
203,.00061304896,7
204,.001991973,14
205,.00036212895,5
206,.0021793367,15
207,.0024041163,15
208,.00091878383,10
209,.00060211966,7
210,.00017901779,4
211,.000018379946,3
212,.0023846254,15
214,.00017025118,4
215,-.0010807279,1
216,.017595263,20
217,-.0010592992,1
218,.00042830704,5
219,.001152747,11
220,.0037696459,17
221,.00052233844,6
222,.00043883154,5
223,.01019023,19
224,.0065247985,19
225,.029163115,20
226,.0022732415,15
227,.011868675,19
228,.0011663701,11
229,.0034617195,17
230,.00065941614,7
231,.0027207166,16
232,.0038069203,17
233,-.00041434186,2
234,.0052391114,18
235,.0055000181,18
236,.0016940817,13
237,.000066219611,3
238,-.0082390625,1
239,.012065042,20
240,-.0048762509,1
241,.012758679,20
242,.0010232143,10
243,.0027125312,16
244,.0023620697,15
245,.0038669587,17
246,.0019730264,14
247,.000083753868,4
248,.00077472115,8
249,.0010487473,10
250,.0010814829,11
251,.0023809981,15
252,.0082139829,19
253,.0067314957,19
254,.00063395523,7
255,.0013610219,12
256,.0009835161,10
257,-.0001646973,2
258,.0008350829,9
259,.000082757419,4
260,-.0016703866,1
261,.0051310817,18
262,-.0003968949,2
263,.00089171756,9
264,.0030416322,16
265,.0016766847,13
266,.0037379544,17
267,.038894366,20
268,.0013570536,12
269,.027710205,20
270,.0024565898,15
271,.0027788477,16
272,.020718327,20
