position_k1000_classification,empl_share,position_popularity_pctile
1,.0088195493,11
2,.0048375274,6
3,.0050048633,7
4,.0087548615,11
5,.0084232204,10
6,.0074328743,10
7,.018241737,17
8,.0043624719,6
9,.004345905,6
10,.0059091086,8
11,.0035189842,4
12,.0079269791,10
13,.010272138,12
14,.022341212,18
15,.010267482,12
16,.040147569,20
17,.0022763223,2
18,.034888286,19
19,.008182466,10
20,.0030503576,4
21,.012697104,14
22,.0092832223,11
23,.021812005,18
24,.024234613,18
25,.014908125,15
26,.0061912811,8
27,.024140747,18
28,.0053784396,7
29,.012154732,14
30,.0095215421,12
31,.013565299,15
32,.0060744225,8
33,.0055252984,8
34,.0022863722,2
35,.0032364603,4
36,.018189412,17
37,.0020457171,2
38,.015677271,16
39,.0099956682,12
40,.02025011,17
41,.034271408,19
42,.014948769,15
43,.0079741422,10
44,.004254865,6
45,.016424434,16
46,.017297,17
47,.013605663,15
48,.013203503,15
49,.0032159633,4
50,.012173096,14
51,.021769924,18
52,.011007182,13
53,.021983445,18
54,.0065366165,9
55,.0063653737,8
56,.0030791119,4
57,.013463312,15
58,.002813014,3
59,.0043940502,6
60,.01834169,17
61,.012374838,14
62,.0052471333,7
63,.0095848572,12
64,.01877257,17
65,.021149466,18
66,.014678137,15
67,.012652851,14
68,.034414001,19
69,.0088830749,11
70,.01436555,15
71,.0094770007,12
72,.030812655,19
73,.0051138313,7
74,.017022962,16
75,.009213157,11
76,.0087733846,11
77,.0046956376,6
78,.004253333,6
79,.0026524207,3
80,.0075091668,10
81,.0068523739,9
82,.010082972,12
83,.0040343697,5
84,.0020179334,2
85,.020843437,18
86,.015602293,16
87,.0065134517,9
88,.01355406,15
89,.0023413294,2
90,.01000674,12
91,.0048866924,7
92,.0045240731,6
93,.0091297133,11
94,.016332593,16
95,.0090749022,11
96,.0054606977,7
97,.004120063,5
98,.0063481545,8
99,.01296821,14
100,.0057047764,8
101,.026591914,19
102,.007321164,9
103,.01846537,17
104,.0091470508,11
105,.0066644126,9
106,.021798676,18
107,.0028457432,3
108,.0030056534,4
109,.020066667,17
110,.0067422688,9
111,.020580564,18
112,.012323539,14
113,.035318103,19
114,.0072932509,9
115,.016176449,16
116,.013063326,14
117,.015229307,16
118,.012009683,14
119,.0082695317,10
120,.0050066905,7
121,.009389827,12
122,.0065052076,9
